gene,male_wt_bf,female_wt_bf,male_ko_bf,female_ko_bf,male_wt_frac_detected,female_wt_frac_detected,male_ko_frac_detected,female_ko_frac_detected
Camkk1,-4.017754,-7.649457,-8.19487,-4.494778,0.0579710144927536,0.041407867494824,0.0454451345755693,0.0332298136645962
Camkk2,-16.85987,-6.427049,-37.16441,-16.502766,0.2456521739130434,0.2230848861283643,0.2202898550724637,0.2410973084886128
Camkmt,-7.93266,-4.713834,-5.2256355,-5.024923,0.0481366459627329,0.0491718426501035,0.0494824016563147,0.0446169772256728
Caml,-32.88466,-25.03958,-32.266087,-30.622002,0.2268115942028985,0.2193581780538302,0.2274327122153209,0.2531055900621118
Camsap1,-11.651731,-23.430271,-18.960093,-20.113476,0.2548654244306418,0.2280538302277432,0.2288819875776397,0.2349896480331263
Camsap2,-28.288729,-12.34516,-21.369917,-9.276258,0.1929606625258799,0.1757763975155279,0.1765010351966873,0.1784679089026915
Camsap3,-2.7593234,-5.183357,-1.4846965,-0.94879985,0.0083850931677018,0.0056935817805383,0.0049689440993788,0.0090062111801242
Camta1,-57.65047,-22.340294,-50.54696,-22.81997,0.4416149068322981,0.4232919254658385,0.4717391304347826,0.5196687370600414
Camta2,-20.734592,-18.345125,-13.2154455,-3.486443,0.2219461697722567,0.1883022774327122,0.1921325051759834,0.1806418219461697
Cand1,-13.074215,-42.22284,-46.370266,-16.813643,0.2710144927536232,0.2512422360248447,0.2702898550724638,0.2733954451345756
Cand2,-2.859494,-2.5467088,-1.4379643,-5.938574,0.0427536231884057,0.0366459627329192,0.0457556935817805,0.0428571428571428
Cant1,-21.200272,-11.405744,-25.941036,-22.794523,0.1887163561076604,0.1701863354037267,0.1967908902691511,0.1936853002070393
Canx,-23.589315,-52.21034,-36.533325,-44.21576,0.7342650103519669,0.7059006211180124,0.7064182194616977,0.7098343685300207
Cap1,-23.933697,-13.725232,-25.576721,-70.07494,0.6108695652173913,0.6298136645962733,0.5953416149068324,0.6403726708074534
