ZT,sample,log10_prop
0,254,-4.699465787368823
0,255,-4.878952527857367
0,256,-4.932057410872273
0,257,-4.803109036731364
0,258,-4.726142057538722
0,259,-4.677085164791613
0,260,-4.920386581788494
0,261,-4.890296619145544
0,262,-4.7744169968694035
0,263,-4.868955486780555
0,264,-4.832693849957117
0,265,-4.670028719171729
0,266,-4.883853550087904
0,267,-4.859156795081098
0,268,-4.769482894057563
0,269,-4.768660349873807
0,270,-4.9518399114160205
0,271,-4.849456004020904
0,272,-4.769416822301933
0,273,-4.803894029984992
0,274,-4.881791422878531
0,275,-4.769144578058505
0,276,-4.7791253470655946
0,277,-4.761818838625417
0,278,-4.732207158603227
0,279,-4.717738785224913
0,280,-4.936273530959369
0,281,-5.007332720662649
0,282,-4.8992580592136115
0,283,-4.835033317607579
0,284,-4.91073322112933
0,285,-4.919363408349484
0,286,-4.865966030410973
0,287,-4.71788711139892
0,288,-4.853086508411955
0,289,-4.84541454046239
0,290,-4.641598194716017
0,291,-4.938518271918235
0,292,-4.908423347188088
0,293,-4.894915070626869
0,294,-4.990299752867059
0,295,-4.785960510418653
0,296,-4.818013626747998
0,297,-4.837757458774411
0,298,-4.835092236805089
0,299,-4.733038732891609
6,0,-4.659635158154161
6,1,-4.9409247948010675
6,2,-4.865543940074939
6,3,-4.8792024203566715
6,4,-4.732192317045129
6,5,-4.7544367727971375
6,6,-4.924274131236971
6,7,-4.842307782139647
6,8,-4.768311930886405
6,9,-4.952032181118974
6,10,-4.940410034133897
6,11,-4.93803086978587
6,12,-4.850806049365981
6,13,-4.685213331838746
6,14,-4.837061112537978
6,15,-4.770600391856776
6,16,-4.741377721589317
6,17,-4.997799478276407
6,18,-4.863484673888813
6,19,-4.847817799990581
6,20,-4.8772003299320135
6,21,-4.859643034922767
6,22,-4.894477378773436
6,23,-4.797019616969251
6,24,-4.715466775138217
6,25,-4.908605648013162
6,26,-4.9071047283952485
6,27,-4.96935147475679
6,28,-4.642406254969581
6,29,-4.712220944263536
6,30,-4.743474046967201
6,31,-4.932904005532706
6,32,-4.834378903243122
6,33,-4.822965968583044
6,34,-4.920577242165871
6,35,-4.770589215984715
6,36,-4.80623586692033
6,37,-4.722882815617566
6,38,-4.75514791588818
6,39,-5.105889741242843
6,40,-4.824278373591017
6,41,-4.928560927538986
6,42,-4.918606667700428
6,43,-4.931094631845885
6,44,-4.95970973700457
6,45,-4.84664004188921
6,46,-4.963113371192766
6,47,-4.823982794126724
6,48,-4.881426374193501
6,49,-4.8203688747298115
6,50,-4.961479905732199
6,51,-4.752537410988473
6,52,-4.7910009181255475
6,53,-4.964909110315673
6,54,-4.968573097619423
6,55,-4.74128581121748
6,56,-4.732867071496738
